Tweet,Target 1,Stance 1,seen?
"I have to disagree with my colleague from Temple University, where I have taught in the business school for 37 years. The unemployment rate for African-Americans has been double the overall rate for many decades. It is and has been an outrage. But where is the evidence that it has anything to do with immigration? Jobs for Americans and adequately funded schools for Philadelphians are big problems, but what do they have to do with immigration. Rather all of these issues have to do with the outsourcing of American jobs by multinational companies and by the strangehold the anti-tax party has in our state legislatures and Congress.",immigration,FAVOR,1
"""If they can get the price point below $15k, they'll sell 50 million of them"" Not likely with Li ion batteries anytime within the next five years. The battery pack alone is estimated to cost $15K for all electric vehicles. But, look what happened with computing power over the last 30 years. I see all electric vehicles as being niche vehicles in the US for the next decade or so. Long term is more favorable if the cost of the battery pack can be lowered by a factor of 10.",electric car,AGAINST,1
"We must all understand that when we privatize any industry that was once run by government it will, in the long-term, cost us more money, while taxpayers will have less oversight of those industries. Why? Because profit is added to the economic paradigm, (in lieu of non-profit management). Once a profit margin is figured into the economic model that was formerly a not-for-profit entity it will eventually cost us more. Plus, corporations have rights to privacy, so the public has little access to how their prisons, water treatment facilities, and the like are actually being run and managed.",bad deal city state,AGAINST,1
The era when there were no public schools was not a good socio-economic time in the life of our nation. Anything which weakens public schools and their funding will result in the most vulnerable youth of America being left out of the chance to get an education.,home schoolers,AGAINST,1
"As a hypogycemic, eating all carbs, all the time (even the good kinds) is just not going to work for me -- I'd be hungry all the time an inevitiably overeat and gain weight. Lots of people are sensitive to carbs in varying degrees, and they are just going to get fat being a vegan. I've seen it happen to several friends. This does not mean it is OK to eat bacon and msdonalds, though, people. Try wild salmon and salad.",veganism,AGAINST,1
"Yes, let's make college admissions (and even private K- 12 school please) based more on socioeconomics than race. In Silicon Valley, there are many non-Caucasian children of multimillionaires, who live in $3 to $15 million houses, receive as much tutoring and college counseling help as they need, attend expensive summer camps/programs, and travel the world before they are 18 years old. They don't need preferences when it comes to school and college admissions.",affirmative action,AGAINST,1
"My comprehensive high school sex education course was one of the most valuable to me of all my subjects. My high school classmates and I were the guinea pigs for the pilot program at LSU's University Lab School in 1953. The course was quite comprehensive. It covered the mechanics, contraception, VD, prostitution, deviant sexual behavior. I don't recall the word abstinence being used. However, the teacher, J.Q. Long, emphasized that sex should be more than a physical act with potentially serious consequences, physical and psychological, and was not to be undertaken casually. Twenty-five years later I was amazed when some parents in my children's school in Michigan objected to the sex education courses which I'm pretty sure were less comprehensive than mine thirty years before in Louisiana.",kid,FAVOR,1
"Perhaps the workability of an open-office layout has to do with the age of the workers and the type of business. Workers who grew up with eyes pinned to computer screens have been trained -- conditioned -- to tune out the rest of the world. I once watched in awe while a young guy conducted a Skype meeting using two laptops in a crowded, noisy coffeehouse. He was oblivious to the chaos. Internet-focused businesses are staffed with -- and often led by -- just this type of person. Of course people like to have their own offices (status, privacy), but the question is whether having your desk in a communal setting adversly affects one's work production and workplace satisfaction. In some situations I think it does, and in some the communality is enhancing. I am old enough that it bothers me to have someone walk behind me and look over my shoulder at my screen. I need walls.",office layout,FAVOR,1
"I am disgusted at the premise of the article. How bad do things have to get in this country before sanity takes hold about taxes? The decline of the United States started with Ronald Reagan's presidency and the introduction of supply side economics that favored the rich and penalized the poor. Twenty years later we live in a nation with a middle class that is now poor, and a tiny slice of the population that holds virtually all the wealth. Our bridges and roads are in disrepair, our prisons are full, our schools are failing, our colleges are unaffordable, our jobs are in Asia, our government is corrupt, and our corporation operate like criminal predators. And the NY Times prints an article posing the question, should we eliminate the tax that rich people pay on income from investments? What a disgrace! The publishers should be ashamed of themselves. And the writers here that advocate abolishing the tax on capital gains should be shunned as the moral degenerates that they are; they should be treated as anti-social pariahs, like meth lab operators or child molesters.",capital gain,AGAINST,1
"Eliminating capital gains taxes would mean that even as more and more wealth and income is siphoned off to the already obscenely rich, those same people would pay no taxes. They would have their private parks, islands, cities and security forces to protect it all and the rest of America, I guess, would go hang. How do we maintain a govenment and any kind of decent civil society under those conditions? It would quickly become time to dust off and oil up the guillotine.",capital gain tax,FAVOR,1
"Thank goodness that this newspaper can showcase the ethical and economic agendas of such lobbying organizations. If we didn't see such nutty statements as Adams emits, we would be less alert to the clear danger of letting anarchist political interest ruin our country. Folks, there are sociopathic forces that would, for corporate interest cloaked in the word liberty, dismantle the American experiment. We have, and can, do much better.",company,AGAINST,1
"#10 has stated the facts. Any firm --even a quasi-government firm--- can release anyone for any reason at anytime except the reasons he has mentioned, Wake up, employees, the government protects your freedom of speech. You can't be arrested for burning the Koran, Bible, Torah, flag, effigies of anyone --as long as it's not considered to be a build up to a physical threat. HOWEVER, your employer may choose to fire you for any of these reasons although these activities are done outside of the work day. There is no recourse. Salam Al-Marayati would be well in his rights. Shariah law has nothing to do with this.",speech,FAVOR,1
Home schooling isn't only a scam designed to de-fund public schools and punish the teachers' unions for supporting Democratic candidates and policies. It is also a scam by some extremist social conservatives to keep women out if the paid labor force. This proposed tax credit should be called what it is--an increase in government spending. Then let the Republicans try to defend it.,tax break,AGAINST,1
"First, Marco seems quite bitter at the country that took him him, provided him scholarships, helped him succeed. I would be kissing the ground in thanks that I escaped to a decent place. This is often a common reaction from people who rely on the largesse of others. The Pew Hispanic Research poll a few years ago asked Mexicans if they would immigrate if they could. Fifty percent said they would. That would be sixty million people. That is just Mexico. The U.S., Canada, and Switzerland generally lead in the polls as to where people would live, if they could. Governments have the responsibility to protect their borders. Due to the desirability of the U.S., the U.S. government has a particular responsibility. From what I can tell, for the most part, people are welcoming of immigrants. They want a process where the appropriate background checks can be done, and the number can be controlled. People do not like it when others jump the line at the movie theatre or on the freeway. They do not like it in the immigration arena either.",immigration,AGAINST,1
"I just returned from 3 wonderful weeks in Japan. Part of what made it wonderful was not that I didn't have to tip (I was told it would have insulted service personnel), but that the service was uniformly, 100% outstanding no matter what city or village I was in, no matter the type of service establishment. The whole experience was a delight.",japanese attendance,FAVOR,1
"There is another way that our population growth will be our undoing: There are not enough meaningful jobs on the planet for the number of people who are already on it. With our efficiencies in production, and the limits to natural resources, this problem will get worse over time. We do have a population problem, a serious one, but it is more than just numbers and how to feed them. We can make it so large numbers of people do not die, but that doesn't mean this planet can be manipulated so that those same large number of people can truly live.",legitimate threat,AGAINST,1
"""But I certainly would fire any of my employees who would consider flag-burning as an act of defiance. It's not. It's childish and immature behavior, and those who would do such a thing would be unworthy of public employment."" Actually, I once told my wife that if an amendment were actually passed banning flag-burning, I would burn one the next day on the steps of the Supreme Court. It's not necessarily an act of childish defiance; it can be an all-in statement of what is important about this country. By the way, flag-burning is required by law. Last time I looked, it was the only proper way to dispose of a flag too worn to be flown any more.",speech,FAVOR,1
"The technology we have today isn't a product of our population. Think how well we could be living now if we hadn't deforested our lands, polluted our waters, degraded our soils and overtaxed our aquifers and rivers. Would the middle east seem so intractable a problem if there was still plenty of water and arable land available; if the population of the region was just a fraction of what it is today? Think of the vast advances civilization made in the first and second millenniums with less than a billion people living on this planet. If birth control had been practiced earlier in our history would we be any less advanced a civilization?",legitimate threat,AGAINST,1
"It seems state public universities are starting to lose their purpose, which is to make higher education more accessible for the state's residents, especially those who are not wealthy. I understand Mr. Johnson's points about the university's financial bind, but if state universities will not serve those they are meant to serve, what's the point?",public university,AGAINST,1
What's next? Childless families get the tax break? Those whose children go to private schools get a tax break? Do we get the tax break when our children finish schoo? We ALL have a vested interest in a well educated population. We all have an obligation to contribute to the public school system.,tax break,AGAINST,1
"Make it illegal. I raised 3 beautiful strays, none of which were declawed. My cats are all well cared for, loved, and yea, from time to time I wake up to the sound of claws on my couch. I will say I spoil my cats, not horribly, but they have toys, scratch post, etc. No pet (fur baby) is perfect. So because they claw your couch you rip their fingers out? Sooooo, please don't procreate I don't want to know what you would do to a human child for say wetting the bed, or throwing a temper.....pets have feelings, brains, hearts, etc. Treat them with some respect and understanding. Ask yourself ""what can I do differently to help my cats bad behavior."" I'll also add my cats are loving and have NEVER bitten anyone! They also don't scratch or claw me, in fact 2 out of 3 are especially aware of people are are careful to retract claws when playing/running/jumping near humans. Time and patience. Stop being lazy and cruel.",cat,FAVOR,1
"These law schools will say and do almost anything to avoid having to reduce the number of law students, which is really the only solution to this whole mess. As an attorney who's taken and passed some of the hardest bar exams in the nation, I will tell you that bar exams are not that hard. If you can't pass them, then you don't deserve to practice. Law schools need to quit whining about the bar and take a long look in the mirror. Either find better students, take fewer of them, or tank your ranking. Either way, blaming the system is just excuse-making.",bar,AGAINST,1
"Concur wholeheartedly with much of the article. The fact is, those with advanced degrees and good skill sets get much better pay and benefits in private industry and leave government on a regular basis (contrary to many of those who claim government employment compensation and benefits are better). In my own case, the private salary I was offered was 3 x the salary in government and had better benefits as well. The problems at the top are large but we never hear that from the smaller government proponents.",privatization,FAVOR,1
"Kids already can and do use marijuana. The law isn't going to make a major difference here. It is hard to argue that marijuana should be illegal when alcohol and tobacco, both more harmful substances, are legal and widely promoted. And in your hysterical attempt to portray marijuana as the demon weed you ignore the fact that the arrests and violence that accompany marijuana use and sales do more harm than the drug actually does. I'm concerned about the fact that many kids don't understand that marijuana is harmful. Not only does it lead to demotivation in some, it now appears that it can permanenty lower the IQ of a teenage user by some 9 points. But alcohol also damages the teenage brain. What we need here is education, not prohibition, and a ban on advertising and promotion -- something we should have for alcohol and tobacco as well, but do not.",pot,FAVOR,1
"It drives me bonkers when economists talk about taxation only in terms of punishment and disincentives. As though taxation had no other function. The only argument in this little blurb is that taxing capital gains is an incentive for fat cats to move their money abroad in the most unpatriotic and revolting display of greed and wealth-obsession I can think of. So let's just not tax them at all! Clearly these people are smart enough to make tons of money without lifting a finger to do real work, so this entitles them to make all the money they want tax free. Bully for them!",capital gain,AGAINST,1
"The only concrete definition of royalty I can think of is rule by decree as opposed to rule by consent. Furthermore, it doesn't make any difference if one attains royalty through heredity, voter fraud or simply by buying an election. The result is the same in each case, i.e., the right to rule was gained without the consent of the governed. It must be Bhutan was very lucky because I can't think of any other royal ruler who went down in history as having consistently issued decrees that were in the best interests of those he (or she, in some rare cases) governed. Personally, I would never willingly give up my democratic right to get rid of leaders whose decrees failed this test. We're all human after all and thus everyone is certain to make mistakes eventually. The idea that someone with ultimate power would have the right to make mistakes with no fear that the consequences could result in their removal is, well, beyond reason.",democracy,FAVOR,1
"If the income based achievement gap is now 2x the size of the race gap, that attests to our under-funding of education, and to our economic policies that create new lower classes for all races for decades. The living standards and security of all have been on a downward path. This shouldn't cancel race affirmative action, since that is an extra layer of roadblocks in the upward path for minorities. Economic policies of the conservatives have for years been working against the gains blacks made in past decades. So even if more whites are poor or near poor than before, still race affirmative action still has a realistic purpose and need. Our legal racial apartheid is all too recent-in my lifetime. And the policies and political messages of our dominant conservative party have still been amplifying negative race messages, using them to win elections.",affirmative action,FAVOR,1
"Had her hospital existed anywhere other than India it would have been forcibly closed down by the authorities as unsanitary, medically unsound and a scam. It is a scandal that a multi million dollar charity keep the poor and dying in such shameless and appalling conditions. Their deaths were mere spiritual entertainment to a grandiose Munchhouens complex",mother teresa,AGAINST,1
"Farm subsidies, along with many others, should have been cut off years ago. Farming is now a big business with many farms being large scale industrial enterprises and many farmers are now millionaires. Better to impose tariffs on foreign imports than continue to feed hogs with out tax dollars. As Harry Truman said, "" If you cant stand the heat get out of the kitchen.""",farm subsidy,AGAINST,1
"It's encouraging to read about these programs. And it's especially good to hear that along with low-income students, financial aid and other support is being given to first-generation college students. It's impossible to exaggerate the difficulties many students from these backgrounds face.",income,FAVOR,1
"Veganism is for everyone. The age or body type of a person does not change the fact that all people need vitamins,proteins, and carbohydrates, which can all be obtained from plant sources. Nowadays, almost any grocery store offers vegan choices. There are also separate vitamin supplements available if needed, but most foods can be found with omega-3s, calcium, and zinc already added to them. Juices, along with meat and egg replacements are all healthy, vitamin-rich, vegan options. Helping the environment and gaining health benefits, such as a longer life span and a lower chance of heart disease come from becoming vegan. This article has been widely disputed below from lack of proof and false statements, and for a good reason. The author really should have done more research on the topic.",veganism,FAVOR,1
"I would go even further. Making all beaches public, and requiring public access to all beaches WITHOUT the beach-goer having to pay a fee to get to the beach. FOr instance, the NOrthern California coast is spectacular, north of San Francisco. I find it offensive to come to a place like Sea Ranch, and find that all the pullouts along highway 1 in this area, from where one can walk to the beach, require you to pay a fee to park. So, unless you are traveling the highway without a car, there is no way to access the beach at Sea Ranch without paying a fee. THis should be forbidden. In my view, we should also prevent people from being able to buy land within a certain distance of the water in areas that remain undeveloped, in order to better preserve these undeveloped areas.",beachfront home,AGAINST,1
That's right! homeschooling parents should get a break on taxes they pay that go towards education. Homeowners who don't have fires should get a break on taxes they pay towards fire departments. Healthy people should get a break on taxes that go towards health care. Creationists should get a break on taxes that go towards scientific research. Taxes should be like a sushi bar: you just select the ones you think you should be paying a la carte on a handy menu.,home schoolers,FAVOR,1
"If the Palestinian cause is ignored again after Israel slaughtered 2100 Palestinians in Gaza including 500  kids among 75% civilians then there is no hope for negotiation. Because the Palestinians are not recognized by Israelis as being divinely created equal with certain unalienable rights including life, liberty and the pursuit of happiness. If America was treating Mexicans and Canadians the way Israel treats Palestinians then it should expect resistance and would deserve it. American revolutionaries used violence to gain their independence. Zionist Jews used violence to obtain their nation state.",palestinian state,FAVOR,1
"Once upon a time, the police were one of the most respected institutions in America, but now most Americans fear them. Almost every single day there are multiple stories of police brutality or misconduct that make the local news. Increasingly, police departments all over the United States are being transformed into military-style units. These days, even very minor violations of the law can result in a SWAT team raid.",minor violation,AGAINST,1
"??? Reparations??? OK that means damage was done and the descendants of those who were brought to what is now the USA would need to prove they would be better off living under the Boko Haram. Keep in mind -- those who were slaves in the Americas were also slaves in Africa -- and were under the Islamic slave trade when sold to the Triangle Trade merchants. Thus slaves=slaves and they again need to show they, via their ancestors, are worse off by not having remained slaves in Africa. Then to there is apportionment ... would payments be made on the percentages of African DNA ? ??? or just based on skin color ??? Most people with African slave ancestors also have a larger percentage of DNA from Europe. Thus, only the slave percentage warrants consideration in the discussion -- the European portion is not due anything.",slavery reparation,AGAINST,1
"Well in the last 50 years there has been at least a small improvement in thinking. One doesn't hear ""god will take care of us"" or ""we have always found new sources of oil before"" as much as one used to. But there is still a very limited understanding of the problem, probably because so few of us thought seriously for a minute when our high school teachers were covering entropy and the second law of thermodynamics. The solar constant ultimately determines the carrying capacity since it provides us with all renewable energy sources: wind, water, solar. It must cover not only our daily energy needs, but also the energy needed to recover and reuse all non-renewable resources that we mine and scatter around the world as products. This limiting factor also means of course that all national states will approach zero-growth, steady state economies.",overcrowding,AGAINST,1
"""I've also heard the argument that the pageant experience builds confidence and community among the participants; so does ""nerding out"" on the debate team or flashing across a lacrosse field. (And you still get to wear a skirt, if that's your thing.)"" I find it interesting that you use the term ""if that's your thing"" here, and support the girls who choose to build confidence and community through an experience other than pageantry. What if participating in pageants is ""your thing?"" By competing in pageants, I've met some of the most intelligent, hardworking young women in my community. I've gotten involved in my community on multiple levels, not just by promoting my personal platform (Empowering teens to prevent dating violence). And I have gained communication skills that helped me to land a successful job in my career field within weeks of my college graduation. Maybe pageants are ""my thing."" I don't see a problem with that--only the benefits.",woman,FAVOR,1
Columbia College allowed me and countless other lower income students to study at one of the great universities of the world for almost no tuition. I graduated from Columbia with no student loans and this has allowed me to practice medicine in rural Upstate New York. I will always be grateful to Columbia and I will continue to contribute money toward their scholarship fund. Why would you want to damage a great university such as Columbia with a new tax policy? The money I contribute helps other students from lower income families attend this wonderful college.,wealthy college,FAVOR,1
"Our strength is in our relationship with Israel. We stand true to OUR values. We are right because Israel is right and a true friend doesn't bend with the conventional will but stands loyal in the face of intense pressure. Israel is and always will be a democracy , seeking peace in a part of the world where terror, brutal dictators and repression and distortion are a way of life. . Name one arab country where a woman could lead it's government, name one arab country with a free press and name one country that doesn't have at least one major arty dominated by a well known terrorist group...As an American I wear my loyalty to our democratic ally with pride.",israel,FAVOR,1
It's naive to think that Justice's political leanings don't affect their decisions. Just look at how closely correlated their decisions are to their appointing Party-with a few exceptions. Better to get their political views out in the open rather than hide them behind some quasi-legal language.,political,NONE,1
The reason that we should not give home-schoolers a tax break is simply that the education of our youth is the civic responsibility of the entire adult population. Period. If some people choose not to use the publicly funded system then they are free to do so but that does not exempt them from contributing to the freely available public system.,home schoolers,AGAINST,1
"""I -... - would not support the idea if I doubted our ability to put environmental safeguards in place."" Putting ""environmental safeguards"" in place and preventing disasters are not the same thing. Standard, well intentioned engineering practice in oil production, refining, and transport includes safeguards like double and triple redundant fail safe systems. Still, engineered systems fail and all too recently we've had well-head blowouts (Deep Water Horizon), refinery explosions and fires, and oil transport disasters ranging from pipeline ruptures to tank train derailments to the Exxon Valdez. Imagine a perfect storm situation off Virginia Beach where a well head blowout coincided with a Hurricane Sandy. Crude oil from the Chesapeake to Iceland and a potentially mortal blow to already fragile shore communities and fisheries along the way. The only way to be 100% sure that the East Coast won't suffer catastrophic damage from oil production is to outlaw the outlandishly risky exploitation of hydrocarbons in our salty ocean waters.",atlantic coast,FAVOR,1
The same people pushing for privatization are the same ones who laid out the plans for Pinochet in Chile. Look what it did to their economy. The only way to fix the economy is eliminating NAFTA and bringing back Clinton era corporate taxes.,privatization,AGAINST,1
"Family wealth or lack of it is not a valid indicator of capability for college level academic study and is inappropriate, as is family or personal income, for use by a college or university in deciding whether to offer an applicant admission. Both are appropriate in deciding whether to assist a successful applicant financial assistance. The two decisions are not logically related, and attempting to combine them is certain to lead to poor results.",affirmative action,FAVOR,1
"The author is a bit behind. China Based, NASDAQ Kandi Technologies (KNDI) already has over 3000 Mini-EV's on US Roads. Over a thousand sold last quarter alone. They are eligible for the 10% tax credit. Before the tax credit, the convertible has an MSRP of 10,000 and the air conditioned hard top is $12,000.",electric car,FAVOR,1
"""Are research papers a waste of time?"" Absolutely not! The internet may give students and scholars easy access to sources, but many of these sources are flawed or unreliable in some way. Now more than ever, students need to know how to sift through information to find reliable sources and well-constructed arguments. Writing a research paper is still the best way to do this. Select a paper topic that you find interesting or important. Read and evaluate 10-15 reputable sources related to your topic, and then build an argument that engages with and contributes to this existing research. This might not be the most exciting assignment in the world (depends on the topic, I suppose) but it teaches skills that every college graduate should have. Really, every high school graduate ought to have this training as well. But let's not ask for the moon!",research paper,FAVOR,1
"I disagree with the above comments and the article. First, the constitutional restraint argument is just ridiculous in the country we live in. Enumerated powers? We started trending away from that when the income tax was passed in what...1916 I think? If we actually practiced anything like constitutional restraint in other areas I would probably buy it but as things stand? No way. As to the childless not getting tax breaks for public schools they don't use because we are all contributing to the next generation... a good argument based on moral principles,but why get all holy all the sudden? The tax code is far from principled. We subsidize homeowners. I am not a homeowner. Not fair. And there is not even a moral argument for that massive tax break. Yet there it is. Why not give something new a chance? The only problem with homeschooling is that it is dominated by right-wing bible-thumpers. If more lefties jumped in the flavor of the whole thing could be changed. For the record I don't have kids and am not religious at all.",tax break,FAVOR,1
"The author's last sentence actually magpies a strong case for women's colleges. CoEd colleges are not generally ""...gender-integrated places, where no one is excluded and both sexes learn how to respect, collaborate with and lead each other through shared experience."" This is a nice fantasy but it is not reality. I was fortunate to go to an women's college in a curriculum where male students had to come to our turf. So I had the best of both worlds - the opportunity to study with men but in an environment where women's opinions and observations were honored because it was a women's college. PS. Having just finished ""I am Charlotte Simmons"" by Tom Wolfe, I think we have made the mistake of thinking that age is the equivalent of the emotional maturity necessary to live together and study together in a mutually beneficial way. If anything, we should have more segregation of the sexes through the college years - not less.",same sex college,AGAINST,1
how about the claim that korea and vietnam are also part of china because they were part of china 1000 years ago. why would the world listen to these crazy claims by chinese everytime when US sells weapon to taiwan? Can china show to the world that it has the capacity to govern a well run democratic country? can china even demonstrate that it can govern its own people and territories in a democratic and non corrupted way?,chinese government,AGAINST,1
I live in New Hampshire most of the time and all I can say is that this doesn't surprise me. The right wing has taken over the state and as far as they're concerned education is a waste of time because gravity doesn't exist and global warming only has something to do with sexual dysfunction.,right wing caring issue,AGAINST,1
"Who has the time? When the kids are are of school age, the parents - usually both - have their noses to the grindstone. It takes a lot of determination and endurance to sit Junior down for two hours of lessons right after dinner. Further, as degrading as it may seem, schools provide an important function beyond education - as a day care service permitting both parents to be employed. As to the merits of giving tax breaks for home schooling, the public schools are not just going to disappear and their expenses have to be paid. Home schooling certainly means higher taxes.",home schoolers,AGAINST,1
"""Room for Debate asks: Have tax breaks, zoning and other policies that have fueled condo development unfairly benefited the wealthy at the expense of other residents?"" Really? This is actually a question? Um, YES! You should be asking what can be done to fix it, rather than whether or not it's happening.",helping condo developer,AGAINST,1
"Human males have strong instincts to select mates with good physical attributes. Women therefore seek to compete. The same phenomenon can be observed in insects, birds, and other mammals. Displays of fitness vary, and in some it is the females rather than the males that make the displays. So -- what is wrong with it? The process is comfortably Darwinian and it has contributed to our success as a species. I don't see why political correctness should be allowed to get in the way of that -- not that, in reality, you could argue men out of their attraction to beautiful women anyway.",miss america,FAVOR,1
"When a couple decides to have children, the children become an integral part of the family and should not be excluded from family adventures unless a child has so severe a disability that he or she cannot go. We rarely took vacations, but when we did it was as a family. Now that our children are grown and all moved away, we seldom see them, so those together times have become even more precious. Children grow up so fast--enjoy them as much as you can. Carve out time for yourselves by enforcing an early bedtime for the offspring.",parent,FAVOR,1
It is so recent that we cant even call it history. Hasn't the west already learnt from the removal of Saddam Hussein and Muammar Gaddafi from Iraq and Libya respectively and what it has done to those countries? The USA is responsible for the creation of ISIS in a passive way as it is also friends with Saudi Arabia. The removal of Assad govt will lead to a stronger ISIS and a bigger problem in middle east. The removal of the Assad govt is being sought mainly because of Israel while it bombs the hell out of Gaza killing thousands of people. Working with the Assad govt is a smart thing to do. Don't fix it if it ain't broke.,isi,AGAINST,1
"Unconditional love combined with the parent fondly expecting the child to be the best he can be. As the child grows older, he needs to separate from his parents and this should be respected. But the parent is always there if the child needs advice. To sum up this approach: Positive Reinforcement",extreme parenting,AGAINST,1
The way banks structure their fees for their services is absurd. The free account but profits made through hidden unrelated fees no one expects. It is like grocery stores that offered all their food for free to pull the most possible customers from competitors. But then they charge random cars in the parking lot $100 for parking more than 10 minutes. They charge a $10 surcharge on exit for every child that enters the store (with no signs posted about this on entrance). And an assortment of other fees that change as people catch on. And yet people keep coming for the free food. When the store wants to increase profits it comes up with more absurd fees.,fee,AGAINST,1
addition from my last post..find it funny all the people against electric..also all the phony reasons not to go electric..the cost of purchasing and current design NO...only because I KNOW it can be done better. cheaper and use house current..THINK people..all in all who are the looser's with electric.. who is to gain with PLUG stations...who is driving the design--to lock us in..,electric car,FAVOR,1
"Farm subsidies should be eliminated for the simple reason that it is these same farm country people who keep electing federal representatives who then preach free market, no government regulation, no bailout, dog eat dog economics. Let rural America experience what it is that they seem to desire.",farm subsidy,AGAINST,1
"The push for casinos demonstrates a lack of imagination and forethought of politicians. Casinos are not the wave of the future, they are regressive in every respect. Surely the state senator has a more creative, forward thinking solution to unemployment? Surely the state senator has more respect for his constituents, and will suggest something that elevates his district, bringing them sustainable development that relies on an educated and sophisticated populace, while protecting the cultural and natural resources of that area of NY. His suggestion that home prices will go up due to the introduction of casinos is absurd, and has not been substantiated in Atlantic City, Eastern Connecticut, or other areas with legalized gambling.",gamble,AGAINST,1
"""Civilians and even humanitarian workers are afraid to assist victims for fear they may be killed in a second strike."" It's worth pointing out that attacking people trying to assist victims in a second strike is a violation of the First Geneva Convention, which the United States has signed. This rule was put in place specifically to prevent the kind of situation where an attack has occurred, medics try to rescue the wounded, and somebody just starts killing medics. That means that anyone ordering those sorts of strikes (which are definitely happening) is a war criminal.",attack,AGAINST,1
"I haven't read through all the comments, but I strongly feel that diet (and what keeps one healthy) is extremely individual and dependent on many things-including allergies, sensitivities, previous medical history, religious experience, and emotional situations, to name a few. I grew up with a father who was a heavy smoker. Possibly as a result, I was given large doses of steroids (to which I became addicted) because I had asthma throughout much of my adolescence. I was also put on thyroid medication for seven years unnecessarily because, at that time, the measures for thyroid were faulty. So today I suffer from osteoporosis and so have adopted a diet rich in calcium. Fortunately, I am not too lactose intolerant and can handle milk products, unless I pick up a virus. I mention all of this to point out that we all have our individual food needs and shouldn't feel compelled to tell others what's good for them.",everyone,AGAINST,1
YES! They always have and always will ... until our government restricts the practice. I was told by a CA University professor they wanted out of state and foreign students because they paid more ... and that was 1978. DJM,public university,AGAINST,1
"Tips help the resturant owner more than the employee. They don't need to pay SS/Fica taxes on tips, esp if the waitstaff don't report. I still contend that giving someone a tip when I'm done eating does not guarantee me good service. Many simply expect the tip. Some get bent if what you give isn't what they expected even if the tip reflected the service they provided. Business should pay a fair wage, disallow tips and charge accordingly. Then, if they get complaints about shoddy service, deal with the employee accordingly.",workplace,FAVOR,1
"Our school district is terrrible, and the results even worse. Last year a child was T-Bagged and beaten because he was white by a group of black football players. No one was punished...b/c they were afraid of the moron parents. We send all 3 kids to private school at a considerable expense to ourselves yet the money we pay in taxes goes to the school we had to pull our kids from. Is that fair?",home schoolers,FAVOR,1
"The US has been able to identify several US citizens who have traveled to the Middle East to train with violent fanatics, and/or who view websites associated with Daesh or Al Queda, and in this way, some very serious violence has been prevented. European nations can use the same intelligence methods to identify European nationals who do likewise. Effective intelligence is more readily attained, than is the change of an entire culture such that we have fewer young males growing up bored and angry.",europe,FAVOR,1
amazing all the phony reason not to have electric..who is to gain for PLUG STATIONS. who is to gain for SPECIAL hook up at a house..who is to gain to smash or eliminate electric..and no--only the questions I ask help keep the electric auto off the street and at a higher price..even the 60mpg and high for gas was smashed decades ago...many examples..think..read..understand basics..,electric car,AGAINST,1
"""Casino taxes and development revenue from the city's three casinos generate about $11 million a month for Detroit."" And where does this revenue come from? Thin air? The writer has to know this is a negative sum game, not even a zero sum game. For every dollar the city takes in, you can be sure the casino operators take at least five. The people who spend this money are overwhelmingly those who can't afford it, so that the 11 million they get back in services is less than what they lost in the first place. At the end of the day, the casino ends up making no new product, or service, other than escapist entertainment. But, but, but, you say, the casino puts the money back in the community. I bet. See the piece by Professor Simon on Atlantic City. Maybe the money does come out of thin air -- Canadians and non-Detroiters. Well that's great. Here you go, Paul. Sorry, Peter.",gamble,AGAINST,1
"As a feminist, and a mom of a boy and a girl, I want equal opportunity for both of them. I would love to find a college beyond Wabash that's all male. Because: on average boys are doing poorly in school compared with girls. It would be even better if that all-male school encouraged the arts--everything from fine arts to domestic arts, animal husbandry, and gardening, in addition to a rigorous curriculum of reading, writing, arithmetic, and science.",same sex college,FAVOR,1
"We are a stupid species. We have known cures right in front of us. Cures for some of the deadliest diseases, and what do we do? We invite them back by not vaccinating our children. It's not the disease that will wipe out us in the end, but our own ignorance.",mandatory child,FAVOR,1
"There is a similar system in the UK. All children aged 3 and upwards are entitled to 15 hours of preschool / nursery per week. This ensures that children are well-socialized and exposed to group environments before they start school, which is at the age of 4 / turning 5 in the UK. Another option for the US would be to just lower the school starting age. In my state, California, the cut-off date for children starting kindergarten is September 1st. As my son's birthday is in October, this means he will be almost 6 years old before he is in any kind of group learning or social environment (unless we decide to put him preschool of course). Why not lower the kindergarten age by a year instead of starting a preschool program? The sooner children learn to deal with a group environment and the joy of learning, the better.",smart investment,FAVOR,1
"""If there were any evidence that a state's disenfranchisement law is truly discriminatory, it would be considered unconstitutional under Supreme Court rulings."" That assumes an impartial Supreme Court. As we all know, the Republican appointees are on a mission to disenfranchise minorities. That is why they were placed on the Court. Clegg assumes his conclusion, and then reasons back to it.",law,FAVOR,1
